ID,Trial,TrialNumber,RT,IsCOrrect,FaceGabor,UpDown,MaskKind,MaskSide,ScreenLocation,Block
7,30,127,1.727436204,1,1,1,2,1,6,1
7,31,78,1.641623336,1,1,0,0,1,7,1
7,32,43,2.739322332,0,1,1,2,1,6.5,1
7,33,131,2.589093741,1,1,1,2,1,6,1
7,34,61,1.797740202,1,1,1,2,1,7,1
7,35,36,9.04008712,1,1,0,2,1,6.5,1
7,36,82,2.012603372,0,1,0,0,1,7,1
7,37,25,2.421107953,1,1,1,0,1,6.5,1
7,38,18,4.250509481,1,1,0,2,1,6.5,1
7,39,40,5.530015682,1,1,0,2,1,6.5,1
7,40,29,3.015022557,1,1,1,0,1,6.5,1
7,41,144,4.682025004,1,1,0,2,1,6,1
7,42,136,9.411907561,0,1,0,2,1,6,1
7,43,94,1.87062881,0,1,0,0,1,7,1
7,44,49,3.713326199,1,1,1,2,1,7,1
7,45,122,1.802190368,0,1,0,0,1,6,1
7,46,85,2.518809968,1,1,1,0,1,7,1
7,47,90,2.469708107,1,1,0,0,1,7,1
7,48,104,1.716403159,0,1,0,0,1,6,1
7,49,129,4.509091568,0,1,1,0,1,6,1
7,50,74,3.699271437,0,1,0,0,1,7,1
7,51,60,9.099397619,0,1,0,0,1,7,1
7,52,79,3.765070328,1,1,1,2,1,7,1
7,53,62,3.874095183,1,1,0,2,1,7,1
7,54,134,6.386590334,0,1,0,0,1,6,1
7,55,124,8.290782854,1,1,0,2,1,6,1
7,56,71,1.936266503,1,1,1,2,1,7,1
7,57,133,1.851378263,0,1,1,0,1,6,1
7,58,5,2.130067,1,1,1,2,1,6.5,1
7,59,77,2.861704629,1,1,1,0,1,7,1
7,60,88,8.379131732,0,1,0,2,1,7,1
7,61,93,1.922899702,0,1,1,0,1,7,1
7,62,111,2.969581171,0,1,1,0,1,6,1
7,63,98,4.689985012,1,1,0,2,1,6,1
7,64,53,7.681072906,1,1,1,2,1,7,1
7,65,47,4.906481298,1,1,1,2,1,6.5,1
7,66,35,3.630798884,0,1,1,2,1,6.5,1
7,67,143,2.89877637,0,1,1,2,1,6,1
7,68,66,3.902177841,0,1,0,2,1,7,1
7,69,75,5.218466591,0,1,1,2,1,7,1
7,70,128,1.848280473,1,1,0,2,1,6,1
7,71,68,4.753988985,1,1,0,0,1,7,1
7,72,106,2.200635738,1,1,0,2,1,6,1
7,73,120,1.805513051,1,1,0,2,1,6,1
7,74,24,1.952146371,0,1,0,2,1,6.5,1
7,75,89,2.286182658,1,1,1,0,1,7,1
7,76,54,1.802590648,1,1,0,2,1,7,1
7,77,139,3.420064691,1,1,1,2,1,6,1
7,78,58,3.860438285,1,1,0,2,1,7,1
7,79,112,1.851571459,1,1,0,0,1,6,1
7,80,86,1.940772213,1,1,0,0,1,7,1
7,81,22,2.549640548,1,1,0,2,1,6.5,1
7,82,116,1.633781057,1,1,0,0,1,6,1
7,83,132,1.733032872,1,1,0,2,1,6,1
7,84,107,1.879399943,1,1,1,0,1,6,1
7,85,9,1.944678109,1,1,1,2,1,6.5,1
7,86,110,2.559254804,1,1,0,2,1,6,1
