Subject,RT_mean.1.1,RT_mean.1.2,RT_mean.2.3,RT_mean.2.4,RT_mean.1,RT_mean.2
29,1.29140439242188,1.22723792314243,1.38696310295258,1.31409675293701,1.25900967006721,1.34981555196425
30,1.78556121030238,1.84466190831154,1.54037275465313,1.48152195262642,1.81539845589924,1.51094735363977
31,1.03542867006036,1.00106795244365,1.43059819990985,1.29062251785047,1.01842915713419,1.35583846062813
32,1.88285157202306,2.46346836024895,1.89417850482035,2.08272034935105,2.17609237415735,1.9913061216998
33,1.55031774297563,1.86848695607403,1.57826553295672,1.70055466603573,1.70467706418179,1.63818720816544
35,1.19016690051285,1.22543176664519,2.0442288388457,1.7682045738887,1.20833364973254,1.91039889219988
36,1.32274147580542,1.40234901227071,1.58019760748321,1.74296931887854,1.36174916867341,1.66158346318087
37,1.30107689179176,1.69082522992406,1.61008717765566,1.78339200390754,1.49016271920248,1.69843865770564
38,.93511371192988,1.05020539930019,1.94138971214183,1.84254165146244,.993787905491213,1.89147633496709
39,2.14206638342074,2.29630387397483,1.63675151515501,1.80522051540203,2.2199641059228,1.71933435841336
40,1.8260266676773,1.45036502142766,1.57742917851298,1.64089530887334,1.6305292803433,1.6088350986913
41,1.90688553573273,1.6280123692225,1.57011010609202,1.51736108115409,1.76322360146988,1.54399672740987
42,1.34454085855298,1.53929499171303,1.67481734292561,1.61712430486533,1.44000857088634,1.64597082389547
43,1.3735202331879,1.41004167891906,1.56541811659241,1.55498882391825,1.39178095605348,1.56020347025533
44,1.56530663328057,2.16929490143328,1.81205538839194,1.76626826695462,1.85522100199387,1.78938409525308
45,1.43562702411767,1.44363897469128,1.54902274465758,1.5869911270534,1.43955287989874,1.56762725203153
46,1.93759011840681,1.74517409148841,1.58326916135218,1.5932235631415,1.83949567331115,1.58834590626473
47,1.99353777088254,1.75514051203097,1.65644053740745,1.42679132048999,1.86957119627972,1.5382052970143
48,2.05637578689661,2.83327303284089,2.25566975760026,2.06049298661805,2.43705543740931,2.15713391205585
49,1.87280569685278,1.99948863343588,1.9577818361116,1.97063819635258,1.93226911606526,1.9640190801889
50,1.75381121600584,2.02533692070167,1.82914116894649,1.79389236490287,1.88957406835376,1.81151676692468
51,1.47950863061024,1.72841081243922,1.97070348773444,2.02626763823836,1.59888008516087,1.99821583410046
52,2.01291578636588,2.58758163493451,1.4882352004022,1.54414526196077,2.29734635787965,1.51591344869852
53,1.29611835227232,1.28663411838585,1.56951116150012,1.48485587113996,1.29137623532908,1.52635356249298
55,1.46464122994313,1.56426390200601,1.32567026932406,1.30870187512228,1.5154487926952,1.31736282632944
56,1.36317476591375,1.4197502765207,1.93598338572192,2.1825405814728,1.3923197259234,2.0567460938448
59,1.73779897739019,2.9422623035806,1.66173845972313,1.60332587048875,2.32140491894637,1.63136391332126
60,1.3000829152174,1.4729895891078,1.50912568962754,1.53951827042441,1.38473514097624,1.52461994650438
61,1.09931068876278,1.13670421800346,1.4910058289759,1.44015715809138,1.11762588675822,1.46508297715242
62,1.44274994667515,1.57847477317167,1.4821988673904,1.57143070238591,1.50991274741569,1.52446657870406
63,1.36232516353717,1.41630172123013,1.55123221552752,1.52576225034336,1.38984262432182,1.53862087354313
